Tên món,Nguyên liệu,Công thức,Tiểu đường,Huyết áp cao,Dạ dày,Gout,Time,Calo 
"Thịt lợn xào lá móc mật","lợn, hành, gia vị, lá móc mật",https://cookpad.com/vn/cong-thuc/13358712-th%E1%BB%8Bt-l%E1%BB%A3n-xao-la-moc-m%E1%BA%ADt?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,25 phút,250
"Thịt bò bóp thấu với hành tây, dưa leo","bò, dưa chuột, hành, mắm, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/22558093-th%E1%BB%8Bt-bo-bop-th%E1%BA%A5u-v%E1%BB%9Bi-hanh-tay-d%C6%B0a-leo?ref=search&search_term=b%C3%B2,0,0,0,0,20 phút,220
"Bò xào giá và rau đắng","bò, rau đắng, giá, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/24192251-bo-xao-gia-va-rau-d%E1%BA%AFng?ref=search&search_term=b%C3%B2,0,0,0,0,15 phút,210
Bò aukobe lúc lắc sốt tiêu đen,"bò, hành, khoai tây, cà chua, xà lách",https://cookpad.com/vn/cong-thuc/24106263-bo-aukobe-luc-l%E1%BA%AFc-s%E1%BB%91t-tieu-den?ref=search&search_term=b%C3%B2,0,0,0,0,25 phút,400
"Bò Kho","bò, hành, tỏi, gừng, dầu mè, dứa, bột năng, gia vị",https://cookpad.com/vn/cong-thuc/24106114-bo-kho?ref=search&search_term=b%C3%B2,0,0,0,0,2 tiếng,300
"Thịt bò xay cuốn lá lốt","bò, lợn, tỏi, hành, gia vị",https://cookpad.com/vn/cong-thuc/15327696-th%E1%BB%8Bt-bo-xay-cu%E1%BB%91n-la-l%E1%BB%91t?ref=search&search_term=b%C3%B2,0,0,0,0,30 phút,280
"Bò xào sả hành","bò, hành, hạt nêm, mỳ chính, sả ",https://cookpad.com/vn/cong-thuc/17026457-bo-xao-s%E1%BA%A3-hanh?ref=search&search_term=b%C3%B2,0,0,0,0,30 phút,250
"Măng xào thịt bò","bò, măng, gia vị",https://cookpad.com/vn/cong-thuc/23894885-mang-xao-th%E1%BB%8Bt-bo?ref=search&search_term=b%C3%B2,0,0,0,0,30 phút,240
"Canh sườn bò nấu măng chua","bò, măng, hạt nêm, hành",https://cookpad.com/vn/cong-thuc/23952473-canh-s%C6%B0%E1%BB%9Dn-bo-n%E1%BA%A5u-mang-chua?ref=search&search_term=b%C3%B2,0,0,0,0,2 tiếng,180
"Su su xào thịt bò","bò, su su, tỏi, hành, dầu hào",https://cookpad.com/vn/cong-thuc/17279004-su-su-xao-th%E1%BB%8Bt-bo?ref=search&search_term=b%C3%B2,0,0,0,0,20 phút,180
"Bò cuộn lá lốt","bò, lát lốt, gia vị",https://cookpad.com/vn/cong-thuc/23929990-bo-cu%E1%BB%99n-la-l%E1%BB%91t?ref=search&search_term=b%C3%B2,0,0,0,0,30 phút,250
"Bò Xào Nấm Kim Châm","bò, hành, nấm kim châm, dầu hào, tỏi",https://cookpad.com/vn/cong-thuc/15139686-bo-xao-n%E1%BA%A5m-kim-cham?ref=search&search_term=b%C3%B2,0,0,0,0,15 phút,240
"Thịt bò lúc lắc","bò, hành, ớt chuông, dầu hào, tỏi",https://cookpad.com/vn/cong-thuc/23918908-th%E1%BB%8Bt-bo-luc-l%E1%BA%AFc?ref=search&search_term=b%C3%B2,0,0,0,0,20 phút,320
"Gà sốt tương tỏi","gà, tỏi, hành, mật ong",https://cookpad.com/vn/cong-thuc/24158189-ga-s%E1%BB%91t-t%C6%B0%C6%A1ng-t%E1%BB%8Fi?ref=search&search_term=g%C3%A0,0,0,0,0,20 phút,280
"Ratatouille và gà nướng kiểu Pháp","ớt chuông, cà chua, gà",https://cookpad.com/vn/cong-thuc/24159321-ratatouille-va-ga-n%C6%B0%E1%BB%9Bng-ki%E1%BB%83u-phap?ref=search&search_term=g%C3%A0,0,0,0,0,70 phút,250
"Canh su su nấu gà","gà, su su, hành, gia vị",https://cookpad.com/vn/cong-thuc/16759366-canh-su-su-n%E1%BA%A5u-ga?ref=search&search_term=g%C3%A0\,0,0,0,0,20 phút,130
"Cà tím xào thịt gà","gà, cà tím",https://cookpad.com/vn/cong-thuc/24204714-ca-tim-xao-th%E1%BB%8Bt-ga?ref=search&search_term=g%C3%A0,0,0,0,0,45 phút,180
"Ớt chuông xào gà lúc lắc chua ngọt","gà, ớt chuông, hành, gia vị",https://cookpad.com/vn/cong-thuc/24195437-%E1%BB%9Bt-chuong-xao-ga-luc-l%E1%BA%AFc-chua-ng%E1%BB%8Dt?ref=search&search_term=g%C3%A0,0,0,0,0,20 phút,220
"Gà rim hành tây tím chua ngọt","gà, hành, gia vị",https://cookpad.com/vn/cong-thuc/24196749-ga-rim-hanh-tay-tim-chua-ng%E1%BB%8Dt?ref=search&search_term=g%C3%A0,0,0,0,0,30 phút,250
"Xá xíu gà","gà, dầu hào, tỏi, tương ớt",https://cookpad.com/vn/cong-thuc/24200061-xa-xiu-ga?ref=search&search_term=g%C3%A0,0,0,0,0,30 phút,250
"Lagu gà","gà, khoai tây, cà chua, bột năng",https://cookpad.com/vn/cong-thuc/24167179-lagu-ga?ref=search&search_term=g%C3%A0,0,0,0,0,1 tiếng,220
"Canh gà nấu măng","gà, măng, hành, hạt nêm, mắm",https://cookpad.com/vn/cong-thuc/23981847-canh-ga-n%E1%BA%A5u-mang?ref=search&search_term=g%C3%A0,0,0,0,0,50 phút,150
"Ức GÀ xào bắp non","gà, ngô, hành, dầu hào, hạt nêm",https://cookpad.com/vn/cong-thuc/23957183-%E1%BB%A9c-ga-xao-b%E1%BA%AFp-non?ref=search&search_term=g%C3%A0,0,0,0,0,25 phút,180
"Ức Gà Áp Chảo","gà, tỏi, mắm",https://cookpad.com/vn/cong-thuc/23942967-%E1%BB%A9c-ga-ap-ch%E1%BA%A3o?ref=search&search_term=g%C3%A0,0,0,0,0,10 phút,190
Rau muống xào tóp mỡ,"rau muống, tỏi, dầu hào, gia vị",https://cookpad.com/vn/cong-thuc/23941950-rau-mu%E1%BB%91ng-xao-top-m%E1%BB%A1?ref=search&search_term=rau+mu%E1%BB%91ng,1,1,1,0,15 phút,120
Rau Muống Xào Tỏi,"rau muống, tỏi, dầu hào, gia vị, muối tinh",https://cookpad.com/vn/cong-thuc/23964408-rau-mu%E1%BB%91ng-xao-t%E1%BB%8Fi?ref=search&search_term=rau+mu%E1%BB%91ng,0,1,0,0,15 phút,90
"Rau Muống Luộc","rau muống, dầu ăn, muối",https://cookpad.com/vn/cong-thuc/23952916-rau-mu%E1%BB%91ng-lu%E1%BB%99c?ref=search&search_term=rau+mu%E1%BB%91ng,0,0,0,0,10 phút,40
Gỏi rau muống,"rau muống, ớt chuông, rau thơm, đường, chanh, tỏi, ớt",https://cookpad.com/vn/cong-thuc/22595108-g%E1%BB%8Fi-rau-mu%E1%BB%91ng?ref=search&search_term=rau+mu%E1%BB%91ng,0,0,1,0,30 phút,80
Nộm rau muống,"rau muống, ớt, tỏi, mắm",https://cookpad.com/vn/cong-thuc/16996867-n%E1%BB%99m-rau-mu%E1%BB%91ng?ref=search&search_term=rau+mu%E1%BB%91ng,0,1,1,0,20 phút,70
Rau muống trộn,"ra muống, hành, trứng, mắm, tương ớt, đường",https://cookpad.com/vn/cong-thuc/16885703-rau-mu%E1%BB%91ng-tr%E1%BB%99n?ref=search&search_term=rau+mu%E1%BB%91ng,0,0,0,0,30 phút,50
Rau muống xào,"rau muống, tỏi, ớt, mắm ",https://cookpad.com/vn/cong-thuc/16841724-rau-mu%E1%BB%91ng-xao?ref=search&search_term=rau+mu%E1%BB%91ng,0,1,0,0,15 phút,70
Canh rau muống luộc dầm sấu,"rau muống, sấu, mắm",https://cookpad.com/vn/cong-thuc/16313663-canh-rau-mu%E1%BB%91ng-lu%E1%BB%99c-d%E1%BA%A7m-s%E1%BA%A5u?ref=search&search_term=rau+mu%E1%BB%91ng,0,0,1,0,10 phút,40
Rau muống xào sả ớt,"rau muống, ớt, mắm, gia vị",https://cookpad.com/vn/cong-thuc/15077798-rau-mu%E1%BB%91ng-xao-s%E1%BA%A3-%E1%BB%9Bt?ref=search&search_term=rau+mu%E1%BB%91ng,1,1,1,0,15 phút,80
Rau cần xào tỏi,"rau cần, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/12422112-rau-c%E1%BA%A7n-xao-t%E1%BB%8Fi?ref=search&search_term=rau+c%E1%BA%A7n,0,1,0,0,15 phút,80
Canh rau cần,"rau cần, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/11067256-canh-rau-c%E1%BA%A7n-cho-ngay-b%E1%BA%ADn-b%E1%BB%8Bu?ref=search&search_term=rau+c%E1%BA%A7n,0,0,0,0,15 phút,40
Cần nước xào hành,"rau cần, cà chua, hành, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/7525105-c%E1%BA%A7n-n%C6%B0%E1%BB%9Bc-xao-hanh?ref=search&search_term=rau+c%E1%BA%A7n,0,1,0,0,15 phút,60
Rau Cần muối xổi,"rau cần, cà rốt, tỏi, ớt",https://cookpad.com/vn/cong-thuc/2448412-rau-c%E1%BA%A7n-mu%E1%BB%91i-x%E1%BB%95i?ref=search&search_term=rau+c%E1%BA%A7n,0,1,1,0,20 phút,40
Rau cần nước xào tóp mỡ,"rau cần, tỏi, gia vị ",https://cookpad.com/vn/cong-thuc/23970555-rau-c%E1%BA%A7n-n%C6%B0%E1%BB%9Bc-xao-top-m%E1%BB%A1?ref=search&search_term=rau+c%E1%BA%A7n,1,1,1,0,20 phút,120
"Rau cần nước xào tôm","rau cần, tôm, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/16813471-rau-c%E1%BA%A7n-n%C6%B0%E1%BB%9Bc-xao-tom?ref=search&search_term=rau+c%E1%BA%A7n,0,0,0,1,20 phút,100
Thịt bò xào cần nước ớt chuông,"rau cần, bò, ớt chuông, gia vị",https://cookpad.com/vn/cong-thuc/16614619-th%E1%BB%8Bt-bo-xao-c%E1%BA%A7n-n%C6%B0%E1%BB%9Bc-%E1%BB%9Bt-chuong-xanh?ref=search&search_term=rau+c%E1%BA%A7n,0,1,1,1,25 phút,160
Thịt Bò Xào Rau Cần,"rau cần, bò, mắm, tỏi, dầu hào, gia vị",https://cookpad.com/vn/cong-thuc/8419958-th%E1%BB%8Bt-bo-xao-rau-c%E1%BA%A7n?ref=search&search_term=rau+c%E1%BA%A7n,0,1,1,1,25 phút,160
Rau dền đỏ luộc,"rau dền, lá lốt, tỏi",https://cookpad.com/vn/cong-thuc/24204249-rau-d%E1%BB%81n-d%E1%BB%8F-lu%E1%BB%99c?ref=search&search_term=rau+d%E1%BB%81n,0,0,0,0,15 phút,30
Canh rau dền nấu mọc tôm,"rau dền, tôm, hành, tỏi ",https://cookpad.com/vn/cong-thuc/24049888-canh-rau-d%E1%BB%81n-n%E1%BA%A5u-m%E1%BB%8Dc-tom?ref=search&search_term=rau+d%E1%BB%81n,0,0,0,1,30 phút,60
Rau dền đỏ xào tỏi,"rau dền, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/17074561-rau-d%E1%BB%81n-d%E1%BB%8F-xao-t%E1%BB%8Fi?ref=search&search_term=rau+d%E1%BB%81n,0,1,0,0,15 phút,70
"Canh rau dền",rau dền,https://cookpad.com/vn/cong-thuc/17015276-canh-rau-r%E1%BB%81n?ref=search&search_term=rau+d%E1%BB%81n,0,0,0,0,10 phút,30
Canh Rau Dền Nấu Nấm Rơm Chay,"rau dền, muối tinh, nấm rơm",https://cookpad.com/vn/cong-thuc/13420183-canh-rau-d%E1%BB%81n-n%E1%BA%A5u-n%E1%BA%A5m-r%C6%A1m-chay?ref=search&search_term=rau+d%E1%BB%81n,0,0,0,0,10 phút,40
Canh rau dền thịt băm,"rau dền, mắm, muối tinh ",https://cookpad.com/vn/cong-thuc/11506925-canh-rau-d%E1%BB%81n-th%E1%BB%8Bt-bam?ref=search&search_term=rau+d%E1%BB%81n,0,0,0,1,10 phút,70
Rau dền cơm chiên trứng,"rau dền, trứng, mắm",https://cookpad.com/vn/cong-thuc/10486850-rau-d%E1%BB%81n-c%C6%A1m-chien-tr%E1%BB%A9ng?ref=search&search_term=rau+d%E1%BB%81n,1,1,1,0,15 phút,130
Canh cua rau dền,"rau dền, cua, muối tinh, gia vị",https://cookpad.com/vn/cong-thuc/8346983-canh-cua-rau-d%E1%BB%81n?ref=search&search_term=rau+d%E1%BB%81n,0,0,0,1,15 phút,70
